               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10405,            0.057824,            0.036433,             0.21734,             0.19683,             0.23988,            0.077319,            0.085403,            0.047123,            0.027002,             0.00136,             0.00136,             0.08776
                   1,            0.082306,            0.066776,            0.022649,             0.30389,             0.73462,             0.33853,            0.097174,            0.076296,            0.029411,           0.0096155,           0.0027299,           0.0027299,             0.07543
                   2,            0.074976,            0.044647,           0.0096166,             0.41522,             0.73717,             0.50977,             0.13032,            0.074724,            0.025552,           0.0042321,           0.0040996,           0.0040996,              0.0631
                   3,            0.074347,            0.039354,           0.0066264,             0.46825,             0.85826,             0.62459,             0.25085,            0.069877,            0.023357,           0.0045651,           0.0054688,           0.0054688,            0.050769
                   4,            0.072547,            0.040484,            0.006166,             0.75191,             0.79353,             0.84643,             0.33391,            0.063106,            0.022238,           0.0043177,           0.0068373,           0.0068373,            0.038437
                   5,            0.067389,            0.036206,           0.0061344,             0.60087,             0.80475,             0.73484,             0.25185,            0.063401,            0.019774,            0.004101,           0.0082049,           0.0082049,            0.026105
                   6,            0.067846,            0.034731,           0.0059839,              0.8336,             0.75309,             0.86288,             0.27427,            0.063437,            0.020149,           0.0046794,           0.0095715,           0.0095715,            0.013771
                   7,            0.060418,            0.033848,           0.0057931,             0.54904,             0.87823,             0.65723,              0.2358,            0.063406,            0.019463,           0.0043525,           0.0099879,           0.0099879,           0.0099879
                   8,            0.054585,            0.030588,           0.0050311,             0.68706,             0.88434,             0.70492,             0.38011,            0.050484,            0.018133,           0.0037227,           0.0099879,           0.0099879,           0.0099879
                   9,             0.04809,            0.031856,           0.0045472,             0.96263,             0.95677,             0.98507,             0.54842,            0.034074,            0.017724,           0.0033261,           0.0099842,           0.0099842,           0.0099842
                  10,            0.045406,            0.033314,           0.0040363,             0.81725,              0.9679,             0.93246,             0.50073,             0.03845,            0.017536,           0.0031256,             0.00998,             0.00998,             0.00998
